Date,AAPL
2022-10-03,288.2455749511719
2022-10-04,296.4101867675781
2022-10-05,296.0679626464844
2022-10-06,292.5870056152344
2022-10-07,286.4659423828125
2022-10-10,285.4783630371094
2022-10-11,285.8011169433594
2022-10-12,285.6739807128906
2022-10-13,293.88751220703125
2022-10-14,290.23052978515625
2022-10-17,295.35418701171875
2022-10-18,298.6885070800781
2022-10-19,297.5932922363281
2022-10-20,296.5764465332031
2022-10-21,304.1609191894531
2022-10-24,308.2407531738281
2022-10-25,311.6063842773437
2022-10-26,311.498779296875
2022-10-27,313.5337829589844
2022-10-28,321.47833251953125
2022-10-31,320.34344482421875
2022-11-01,319.355224609375
2022-11-02,314.41436767578125
2022-11-03,312.9565124511719
2022-11-04,317.1343688964844
2022-11-07,321.3217468261719
2022-11-08,324.5406799316406
