Date,AAPL
2022-06-13,130.74813842773438
2022-06-14,131.62060546875
2022-06-15,134.26766967773438
2022-06-16,128.9437713623047
2022-06-17,130.43087768554688
2022-06-21,134.7039031982422
2022-06-22,134.18838500976562
2022-06-23,137.0832977294922
2022-06-24,140.4442138671875
2022-06-27,140.4442138671875
2022-06-28,136.26040649414062
2022-06-29,138.03504943847656
2022-06-30,135.54660034179688
2022-07-01,137.7376251220703
2022-07-05,140.34507751464844
2022-07-06,141.69337463378906
2022-07-07,145.09396362304688
2022-07-08,145.7780303955078
2022-07-11,143.62664794921875
2022-07-12,144.608154296875
2022-07-13,144.2413330078125
2022-07-14,147.1957550048828
2022-07-15,148.88116455078125
2022-07-18,145.8077850341797
2022-07-19,149.7040252685547
2022-07-20,151.72653198242188
2022-07-21,154.0167236328125
2022-07-22,152.7675018310547
2022-07-25,151.63731384277344
2022-07-26,150.29891967773438
2022-07-27,155.44435119628906
2022-07-28,155.9995574951172
2022-07-29,161.115234375
2022-08-01,160.1238250732422
2022-08-02,158.63671875
2022-08-03,164.70420837402344
2022-08-04,164.38694763183594
2022-08-05,164.15859985351562
2022-08-08,163.68203735351562
2022-08-09,163.731689453125
2022-08-10,168.02056884765625
2022-08-11,167.27597045898438
2022-08-12,170.85995483398438
2022-08-15,171.9420928955078
2022-08-16,171.78323364257812
2022-08-17,173.2923126220703
2022-08-18,172.8951873779297
2022-08-19,170.2841339111328
2022-08-22,166.3625946044922
2022-08-23,166.02503967285156
2022-08-24,166.32289123535156
2022-08-25,168.80487060546875
2022-08-26,162.44105529785156
2022-08-29,160.2172088623047
2022-08-30,157.7650146484375
2022-08-31,156.08718872070312
2022-09-01,156.8218536376953
2022-09-02,154.68731689453125
2022-09-06,153.4165496826172
2022-09-07,154.8362579345703
2022-09-08,153.34706115722656
2022-09-09,156.236083984375
2022-09-12,162.25241088867188
2022-09-13,152.7315216064453
2022-09-14,154.19091796875
2022-09-15,151.27212524414062
2022-09-16,149.6141357421875
2022-09-19,153.36691284179688
2022-09-20,155.7694854736328
2022-09-21,152.6123809814453
2022-09-22,151.63946533203125
2022-09-23,149.34608459472656
2022-09-26,149.68365478515625
2022-09-27,150.66650390625
2022-09-28,148.76034545898438
2022-09-29,141.45338439941406
